2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:09		 wafer_23012020_041211.csv: File loaded successfully!!
